task,alpha,threshold_z,frame_fpr,video_fpr,error_frame_recall,error_video_recall
coffee,0.05,12.309176,0.013383,0.000000,0.061443,0.187500
oatmeal,0.05,5.175272,0.038816,0.333333,0.171447,0.406250
pinwheels,0.05,2.833996,0.127099,0.333333,0.167668,0.428571
quesadilla,0.05,3.140698,0.151881,1.000000,0.374686,0.781250
tea,0.05,22.406826,0.078338,0.333333,0.122821,0.187500
