task,alpha,threshold,calibration_videos,normal_video_fpr,error_video_recall
coffee,0.05,0.683410,3,0.333333,0.093750
oatmeal,0.05,0.647373,3,0.333333,0.687500
pinwheels,0.05,0.722832,3,0.666667,0.452381
quesadilla,0.05,0.696993,3,0.000000,0.312500
tea,0.05,0.681934,3,0.333333,0.531250
