task,alpha,threshold,calibration_videos,calibration_frames,test_videos,frame_fpr,video_fpr,error_frame_recall,error_video_recall
coffee,0.05,0.526796,3,13608,38,0.112996,1.0,0.273164,0.600000
oatmeal,0.05,0.599475,3,7192,35,0.064225,0.666667,0.341492,0.843750
pinwheels,0.05,0.681637,3,7567,45,0.094182,0.666667,0.124342,0.642857
quesadilla,0.05,0.546062,3,2534,35,0.069194,0.666667,0.429498,0.906250
tea,0.05,0.660735,3,4525,35,0.046826,0.333333,0.142495,0.687500
